X,Y,SP_ID,id,latitude,longitude
19.659958247307351,25.69971741938728,2926,2926,25.6997174000,19.6599582000
20.842260925998186,26.470177919738948,2927,2927,26.4701779000,20.8422609000
25.668884975048954,26.096805250446405,2928,2928,26.0968052000,25.6688849000
26.31340012407621,26.444466764271432,2929,2929,26.4444667000,26.3134001000
26.973303620634933,25.691824137970215,2930,2930,25.6918241000,26.9733036000
28.183036426563184,26.334235433103601,2931,2931,26.3342354000,28.1830364000
29.180202472414713,26.051105250041775,2932,2932,26.0511052000,29.1802024000
29.35974367515265,25.793375052284606,2933,2933,25.7933750000,29.3597436000
30.809380472492801,26.251216927250386,2934,2934,26.2512169000,30.8093804000
31.494037804292464,25.911680705012845,2935,2935,25.9116807000,31.4940378000
32.027092153948544,26.080355929053006,2936,2936,26.0803559000,32.0270921000
32.65623720496388,26.115833429025322,2937,2937,26.1158334000,32.6562372000
33.653180136948293,26.384961524064472,2938,2938,26.3849615000,33.6531801000
37.197375607592271,26.012856838154114,2939,2939,26.0128568000,37.1973756000
37.813732868921541,25.999091833057509,2940,2940,25.9990918000,37.8137328000
38.917404634295139,26.318450813188793,2941,2941,26.3184508000,38.9174046000
58.103867921275871,25.707472717055442,2942,2942,25.7074727000,58.1038679000
59.072717886570203,26.489724670666728,2943,2943,26.4897246000,59.0727178000
59.314986695869955,25.764637882300658,2944,2944,25.7646378000,59.3149866000
60.463215567968163,25.99535751789384,2945,2945,25.9953575000,60.4632155000
60.87741667666274,26.089314381058891,2946,2946,26.0893143000,60.8774166000
62.2496900230066,25.873196710539801,2947,2947,25.8731967000,62.2496900000
62.490554960716665,26.447113344476204,2948,2948,26.4471133000,62.4905549000
63.45608305453392,25.74386916585263,2949,2949,25.7438691000,63.4560830000
64.41670641725328,26.403870703392091,2950,2950,26.4038707000,64.4167064000
70.393104789405868,26.101992261088935,2951,2951,26.1019922000,70.3931047000
70.804041096356329,26.454186091001812,2952,2952,26.4541860000,70.8040410000
71.795490717122391,25.910898894603612,2953,2953,25.9108988000,71.7954907000
72.311903326788595,26.130546939656682,2954,2954,26.1305469000,72.3119033000
73.642516280416501,26.017948777957837,2955,2955,26.0179487000,73.6425162000
74.389189793093735,25.993299575215882,2956,2956,25.9932995000,74.3891897000
75.267961349636053,25.809503069571505,2957,2957,25.8095030000,75.2679613000
76.138840109796604,25.823906698142704,2958,2958,25.8239066000,76.1388401000
76.828667848577354,26.245927043304956,2959,2959,26.2459270000,76.8286678000
77.065548303975348,26.508835533768973,2960,2960,26.5088355000,77.0655483000
78.012317728217852,26.492689337975524,2961,2961,26.4926893000,78.0123177000
79.155672548762524,26.099079121540569,2962,2962,26.0990791000,79.1556725000
80.191270539927785,25.906445926288647,2963,2963,25.9064459000,80.1912705000
80.725002208905437,26.400437167666269,2964,2964,26.4004371000,80.7250022000
81.616334942570361,26.441316206396767,2965,2965,26.4413162000,81.6163349000
82.436669138046881,26.244435578232508,2966,2966,26.2444355000,82.4366691000
83.115887847539142,25.929293793438678,2967,2967,25.9292937000,83.1158878000
84.290595455287999,26.395244812974543,2968,2968,26.3952448000,84.2905954000
84.891501223204486,26.464279619566689,2969,2969,26.4642796000,84.8915012000
85.585675866267039,25.841229811558012,2970,2970,25.8412298000,85.5856758000
85.969407047306731,26.385238651262132,2971,2971,26.3852386000,85.9694070000
87.292580365140068,26.347978336752291,2972,2972,26.3479783000,87.2925803000
87.68560088088816,25.808575074425267,2973,2973,25.8085750000,87.6856008000
