"transaction_id","project_id","transaction_isodate","transaction_year","transaction_value_code","transaction_currency","transaction_value"
"kD4RRv5CmUKs83GkSheHYV","906001153023","","2010","D","USD","951121.123219"
"CSyEoH4h8nx9CeeLxeRkFR","906001153051","","2015","D","USD","1806175.45424"
"avokEdPjbNmRaZy6SC7rP7","906001153073","","2015","D","USD","2095641.51154"
"HdZ3LmdnUTh3P6KLseV5G6","906001153075","","2015","D","USD","2011815.85108"
"soaRAMUYsrmh2qKpVSYeRL","906001153091","","2009","D","USD","1038640.06773"
"VrfD5DpkCaNFUeUa6rPuAK","906001153095","","2009","D","USD","1058313.049"
"jnnzryVqm3XZA6VhUhvbi2","906001153151","","2011","D","USD","946719.289591"
"me2skJsyUU4ysKaMyLMgr7","906001153153","","2009","D","USD","1058313.049"
"dpE8vjogKTBcBqHbkuL49A","906001153157","","2008","D","USD","819336.337567"
"2FJMHNgMWnCzQCG47fgbLF","906001153165","","2010","D","USD","685818.315172"
"qeEHYtBQ4FX8hPhG7Z6co4","906001153167","","2010","D","USD","699151.299246"
"fWJP2KnDh8jjjVzqE82QFN","906001153171","","2014","D","USD","2000000.0"
"heinXwxhiNnUkrWEC6f4vi","906001153179","","2009","D","USD","965595.30109"
"VXAaB4tv6TGPNSCgmDMEaf","906001153181","","2012","D","USD","1009489.19847"
"AodgRKMrwhxjxnezMvLCpb","906001153193","","2011","D","USD","937345.831278"
"r5hg8B9rBXyacqipFkRcTo","906001153203","","2009","D","USD","1058313.049"
"yYJo2Q78UTjcZwYemubHBm","906001153209","","2014","D","USD","917431.0"
"E8wdJG4LerDgRUMQRCPrgP","906001153211","","2014","D","USD","1756880.0"
"UuhvrQCPJHxvMDmQbg5Won","906001153221","","2015","D","USD","1437814.06755"
"J9FecgvLcn7MLmd6DqQ49X","906001153231","","2015","D","USD","1934187.93891"
"hWvvhG82ChAeKRHbAgN6kj","906001153233","","2014","D","USD","792832.0"
"mcz3bcoLaqCDN3QVgS9Jc7","906001153239","","2015","D","USD","737536.506521"
"GLSzCKxmvnTFEY83Dx2T95","906001153245","","2016","D","USD","1029410.32215"
