Project ID,WDPA ID,,,,,,Protected Area Information,,,Additional Information,,,
PMIS GEF ID,WDPA ID1,WDPA ID2,WDPA ID3,WDPA ID4,Found on PP?,Notes,Protected Area Name,Country,Area,More Than 1 WDPA ID?,Name of PA in Documentation,Direct Investment (US$),Notes
499,301992,,,,Y,,Aguacaliente Wildlife Sanctuary,Belize,,N,,,
503,21003,,,,Y,,San Rafael,Paraguay,,,,,
503,61554,,,,Y,,Médanos del Chaco ,Paraguay,,,,,
503,61556,,,,Y,,Rio Negro,Paraguay,,,,,
503,317128,,,,Y,,Paso Bravo ,Paraguay,,,,,
503,,,,,N,The PA's I could find similar to this name were in Brazil not in Paraguay,Interior Atlantic Forest,Paraguay,,,,,New
503,,,,,N,The PA's I could find similar to this name were in Brazil not in Paraguay,Cerrado,Paraguay,,,,,New
503,,,,,N,,Chaco-Pantanal,Paraguay,,,,,New
503,,,,,N,,Chaco Seco,Paraguay,,,,,New
505,836,,,,Y,,Khunjerab National Park,Pakistan,,N,,,
512,1660,555549413,,,Y,,Vashlovani Strict Nature Reserve,Georgia,,,,,
512,313053,555549416,,,Y,,Tusheti Protected Landscape,Georgia,,,,,
512,198475,,,,Y,,Turtle Islands Wilderness Sanctuary,Philippines,,,Turtle Island Nature Park,,
512,313048,,,,Y,,Bbatsara Strict Nature Reserve,Georgia,,,Batsara-Babaneuri-Ilto,,
534,902398,2336,2106,,Y,,Dinder National Park,Sudan,,Y,,,
536,722,,,,Y,,Marahoue National Park,Côte D'Ivoire,,N,,,
536,7409,,,,Y,,Sapo National Park,Liberia,,N,,,
