"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","chg.forest.km.outcome","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"2098",2236.06787109375,1000,50,0.402177602052689,105,54.030460357666,0,16,5.916383,0.047872,NA,NA,NA,NA,NA,NA,0,2156.12304688,1,314.159265358979,NA,NA,NA,NA,12.659949625198,NA,""
"2163",5099.01953125,1000,25,0.133065894246101,684,7.76827716827393,1,91,18.044343,-88.338026,219.9,1.6,102.858333333333,29.6,23.9,27.0583333333333,0,3791.20556641,1,314.159265358979,0.832774606239069,0.832774606239069,377.244050197169,0.832774606239069,12.659949625198,NA,""
"2166",5099.01953125,1000,25,0.133065894246101,684,7.76827716827393,1,91,18.044343,-88.338026,219.9,1.6,102.858333333333,29.6,23.9,27.0583333333333,0,3791.20556641,1,314.159265358979,0.832774606239069,0.832774606239069,377.244050197169,0.832774606239069,12.659949625198,NA,""
"2171",1414.21362304688,1000,27,0.592247426509857,532,4.28672885894775,1,89,16.188298,-88.974817,584.1,32.4,251.291666666667,27.5,22.6,25.45,0,4357.47558594,1,314.159265358979,0.947052391835036,0.947052391835036,331.723216231211,0.947052391835036,12.659949625198,NA,""
"2204",0,15000,186,0.154685854911804,976,0.646142184734344,1,99,-14.6454,-66.306477,250.6,34,135.216666666667,28.8,22.4,26.4583333333333,0,4196.41601562,1,314.159265358979,0.803782043697309,0.803782043697309,390.851310778082,0.803782043697309,-10.0444758689726,NA,""
"2212",1414.21362304688,1000,-2,0.0691777542233467,97,376.925811767578,1,0,33.485953,120.511844,NA,NA,NA,NA,NA,NA,5,2120.98486328,1,314.159265358979,NA,NA,NA,NA,12.659949625198,623,"Wetland Biodiversity Conservation and Sustainable Use"
"2216",1414.21362304688,29274.5625,29,0.345884710550308,1239,2.1827380657196,1,98,3.77959,114.22396,427.1,105.6,219.925,27.7,25.7,26.775,0,3786.00561523,1,314.159265358979,0.3218568537553,0.3218568537553,976.08381394863,0.3218568537553,-10.0444758689726,642,"Conservation and Sustainable Use of Tropical Peat Swamp Forests and Associated Wetland Ecosystems"
"2217",2236.06787109375,1000,94,0.415059447288513,58,36.5703010559082,1,60,-14.727427,40.79925,208.8,0,71.5916666666667,27.3,23.3,25.7166666666667,0,3476.69970703,1,314.159265358979,0.610410214321089,0.610410214321089,514.669083164661,0.610410214321089,12.659949625198,NA,""
"2224",2000,18357.560546875,137,0.652593672275543,1188,0.181584596633911,1,98,4.049032,-56.411474,392.5,12.5,205.675,28,25.5,26.3416666666667,0,3888.02636719,1,314.159265358979,0.769568588506069,0.769568588506069,408.227765596363,0.769568588506069,-10.0444758689726,NA,""
"2255",1414.21362304688,106230.8828125,230,0.505032122135162,3198,0.689437329769135,1,100,-10.574626,-59.973692,407.9,0,149.683333333333,27.2,23.8,25.5,0,3981.93041992,1,314.159265358979,0.400716950861895,0.400716950861895,783.9929523402,0.400716950861895,-10.0444758689726,834,"Promoting Biodiversity Conservation and Sustainble Use in the Frontier Forests of Northwestern Mato Grosso"
"2257",2000,47707.44140625,448,1.16441226005554,942,1.72182595729828,1,97,-12.066081,-59.298248,313.1,0,137.433333333333,26.2,22.7,24.6416666666667,0,3758.74023438,1,314.159265358979,0.780051243395501,0.780051243395501,402.741830128325,0.780051243395501,-10.0444758689726,834,"Promoting Biodiversity Conservation and Sustainble Use in the Frontier Forests of Northwestern Mato Grosso"
"2274",1000,1000,51,0.526827454566956,444,27.1145401000977,1,95,10.684576,-84.148153,483.4,67.2,232.566666666667,28,26.1,26.875,0,2459.10107422,1,314.159265358979,0.858844924093012,0.858844924093012,365.792771833342,0.858844924093012,12.659949625198,NA,""
"2276",0,12727.921875,227,0.629834473133087,1292,0.415116101503372,1,100,-11.85917,-68.229819,297.9,7.6,151.808333333333,27.3,23.6,26.025,0,3923.96533203,1,314.159265358979,0.785293105624268,0.785293105624268,400.053512642567,0.785293105624268,-10.0444758689726,NA,""
"2279",2000,62169.125,547,3.9146363735199,3111,0.0763145983219147,1,100,-12.084382,-71.698535,264.5,32.7,116.275,22.4,18.2,21.0333333333333,0,3951.57055664,1,314.159265358979,0.565359081343338,0.565359081343338,555.680939293505,0.565359081343338,-10.0444758689726,NA,""
"2306",1000,1000,51,0.526827454566956,444,27.1145401000977,1,95,10.684576,-84.148153,483.4,67.2,232.566666666667,28,26.1,26.875,0,2459.10107422,1,314.159265358979,0.858844924093012,0.858844924093012,365.792771833342,0.858844924093012,12.659949625198,NA,""
"2312",0,16031.2197265625,377,0.686537027359009,1665,1.62750995159149,1,99,-12.791822,-70.951604,745.1,240.6,440.216666666667,26,22.3,24.8916666666667,0,5931.86816406,1,314.159265358979,0.945040889772608,0.945040889772608,332.429282964223,0.945040889772608,-10.0444758689726,NA,""
"2393",0,16031.2197265625,377,0.686537027359009,1665,1.62750995159149,1,99,-12.791822,-70.951604,745.1,240.6,440.216666666667,26,22.3,24.8916666666667,0,5931.86816406,1,314.159265358979,0.945040889772608,0.945040889772608,332.429282964223,0.945040889772608,-10.0444758689726,957,"Conservation and Sustainable Use of Biodiversity in the Amarakaeri Communal Reserve and Adjoining Indigenous Lands"
"2394",0,16031.2197265625,377,0.686537027359009,1665,1.62750995159149,1,99,-12.791822,-70.951604,745.1,240.6,440.216666666667,26,22.3,24.8916666666667,0,5931.86816406,1,314.159265358979,0.945040889772608,0.945040889772608,332.429282964223,0.945040889772608,-10.0444758689726,957,"Conservation and Sustainable Use of Biodiversity in the Amarakaeri Communal Reserve and Adjoining Indigenous Lands"
"2463",3000,1000,29,0.287730604410172,54,348.629699707031,1,0,21.560169,109.701229,445.1,21.2,167.65,28.8,15.9,23.5583333333333,5,1695.59130859,1,314.159265358979,0.473270858378746,0.473270858378746,663.804372902179,0.473270858378746,12.659949625198,1128,"Biodiversity Management in the Coastal Area of China's South Sea"
"2539",1414.21362304688,1414.21362304688,20,0.325205683708191,333,12.3831396102905,1,32,11.696211,-15.041176,553.6,0,147.566666666667,28.3,26.4,27.475,0,3910.00805664,1,314.159265358979,0.810244937335615,0.810244937335615,387.733697407664,0.810244937335615,-10.0444758689726,1221,"Coastal and Biodiversity Management Project"
"2557",1000,1000,997,0.333917886018753,468,0.161148399114609,1,0,-25.802115,22.887762,79,2.4,24.45,28.5,13.2,22.5416666666667,0,2185.09228516,1,314.159265358979,0.371796943984894,0.371796943984894,844.975383583959,0.371796943984894,12.659949625198,1242,"Desert Margin Programme, Phase 1"
