"","dist_to_all_rivers.na.mean","dist_to_roads.na.mean","srtm_elevation_500m.na.mean","srtm_slope_500m.na.mean","accessibility_map.na.mean","gpw_v3_density.2000.mean","wdpa_5km.na.sum","treecover2000.na.mean","latitude","longitude","udel_precip_v4_01_yearly_max.2002.mean","udel_precip_v4_01_yearly_min.2002.mean","udel_precip_v4_01_yearly_mean.2002.mean","udel_air_temp_v4_01_yearly_max.2002.mean","udel_air_temp_v4_01_yearly_min.2002.mean","udel_air_temp_v4_01_yearly_mean.2002.mean","v4composites_calibrated.2002.mean","ltdr_yearly_ndvi_mean.2002.mean","treatment","iba_statescore","propensity","ML.prop","transOutcome","transProp","tree.pred","GEF_ID","Title"
"2469",NA,NA,NA,NA,NA,3.25465393066406,1,0,-8.638242,119.560915,NA,NA,NA,NA,NA,NA,0,1570.57470703,1,0,NA,NA,NA,NA,3,1144,"Komodo National Park Collaborative Management Initiative"
"2477",4472.1357421875,24331.05078125,1528,16.8405513763428,1496,21.8764801025391,1,90,-7.799455,36.665227,441.5,22.2,147.9,19.9,15.2,17.75,0,2479.86010742,1,3,0.653665527152831,0.653665527152831,4.5895031562504,0.653665527152831,3,1170,"Conservation and Management of the Eastern Arc Mountain Forests"
"2540",NA,NA,NA,NA,NA,1.84049904346466,1,0,-53.657136,-72.230367,NA,NA,NA,NA,NA,NA,0,841.664428711,1,3,NA,NA,NA,NA,-3,1236,"Conserving Globally Significant Biodiversity along the Chilean Coast"
"2542",3000,16643.31640625,NA,NA,NA,22.7798805236816,0,0,-40.716613,-73.843946,229.5,32.6,136.183333333333,14.3,5.3,9.725,0,2991.82958984,1,3,NA,NA,NA,NA,-3,1236,"Conserving Globally Significant Biodiversity along the Chilean Coast"
"2543",3000,16643.31640625,NA,NA,NA,22.7798805236816,0,0,-40.716613,-73.843946,229.5,32.6,136.183333333333,14.3,5.3,9.725,0,2991.82958984,1,3,NA,NA,NA,NA,-3,1236,"Conserving Globally Significant Biodiversity along the Chilean Coast"
"2578",3000,12165.525390625,2254,12.3935642242432,711,9.33908557891846,1,63,29.053031,-102.60585,62.3,0,22.1583333333333,27.2,6.7,17.5416666666667,0,2233.06787109,1,0,0.730924506056927,0.730924506056927,0,0.730924506056927,-3,NA,""
"2596",1000,34885.52734375,584,0.616008222103119,1630,0.250572293996811,1,0,-27.410075,15.904903,18.5,0,6.28333333333333,17.9,10.5,14.5416666666667,0,1303.2791748,1,0,0.232956503677863,0.232956503677863,0,0.232956503677863,-3,1505,"Namib Coast Biodiversity Conservation and Management (NACOMA)"
"2636",0,13000,434,0.81671142578125,661,0.0690960064530373,1,29,-12.013229,37.353436,436.9,0,133.608333333333,25.5,20.8,23.7833333333333,0,2581.30297852,1,3,0.542493347449534,0.542493347449534,5.53002173041224,0.542493347449534,3,1734,"The Development and Management of the Selous-Niassa Wildlife Corridor"
"2638",1414.21362304688,1000,659,0.80965131521225,117,13.4599103927612,1,29,-11.171786,36.903121,380.4,0,116.55,26.2,21.3,24.2166666666667,0,2353.80126953,1,3,0.554383456150155,0.554383456150155,5.41141689334151,0.554383456150155,3,1734,"The Development and Management of the Selous-Niassa Wildlife Corridor"
"2671",0,13000,434,0.81671142578125,661,0.0690960064530373,1,29,-12.013229,37.353436,436.9,0,133.608333333333,25.5,20.8,23.7833333333333,0,2581.30297852,1,3,0.542493347449534,0.542493347449534,5.53002173041224,0.542493347449534,3,2003,"Transfrontier Conservation Areas and Sustainable Tourism Development Project"
